,name,price,end_date,Distillery,Age,Region,Bottler,Bottled Strength,Bottle Size,Distillery Status,details,Vintage,Cask Type,reserve_met
5121082,Clynelish 1989 Blackadder 31 Year Old Statement,728,2023-10-04,Clynelish,31 Year Old,Highland,Blackadder,46.8%,70cl,Operational,"Clynelish 1989 Blackadder 31 Year Old StatementClynelish distillery as it is recognised today, was built in 1967 to replace the smaller distillery next-door, which was the original site of that name. The first distillery was closed, but later re-opened, changing its name to Brora (but that’s another story). Clynelish is part of the Diageo stable, having been taken over by DCL in 1912. Despite being an important part of the Johnnie Walker blends, it has long been bottled as a single malt.A single cask Clynelish bottled by Blackadder.Blackadder International were founded in 1995 by whisky writers, Robin Tucek and John Lamond, authors of the 1987 publication, The Malt Whisky File: The Essential Guide for the Malt Whisky Connoisseur. The company has gained great affection from whisky enthusiasts for its Raw Cask series, which is deliberately drawn un-filtered from the cask so as to retain all cask sediment along with any natural oils and fats. The company is credited with a key role in the popularisation of cask strength whiskies since its inception.Distilled in 1989 and bottled in July 2021 from a single cask #6094.One of 194 bottles.",1989,,
6182500,Ben Nevis 1996 Thompson Brothers 23 Year Old 'The Amber Light' / RMW,381,2023-10-04,Ben Nevis,23 Year Old,Highland,Thompson Brothers,52.2%,70cl,Operational,"Ben Nevis 1996 Thompson Brothers 23 Year Old 'The Amber Light' / RMWBen Nevis distillery was built by ""Long"" John MacDonald in 1825, and was so popular by the end of the 19th century that at one point the estate employed over 200 people. After a series of closure and re-openings at the beginning of the 20th, it was eventually bought by former Canadian bootlegger, Joseph Hobbs. He installed a coffey still there in 1955, making Ben Nevis Scotland's first dual-operation distillery, and began to blend its malt and grain before filling it to cask. Sporadic closures again followed Hobb's death, with stability finally ensured in 1989 when it was bought by long-term customers, Nikka Whisky of Japan. Its turbulent history means there were few distillery bottlings until the launch of the 10 year old single malt in 1996, but casks had long been making their way to independent labels, and many of them are very highly praised.A brilliant Ben Nevisbottled by Dornoch's finest,the Thompson Brothers.The Thompson Brothers began their whisky bottling in enterprise in 2013, establishing the Black Isle Whisky Company in their native Dornoch. The brothers, Simon and Philip, renamed the operation as the Dornoch Distilling Company in 2015, opening the Dornoch distillery the following year. In addition to distilling their own whisky, their independent bottlings continue to flourish, with many exceptional tasting and fantastically labelled single malts and rums released under the Thompson Bros banner.Distilled in 1996, this was specially selected by whisky writer Dave Broom and available exclusively at Royal Mile Whiskies.One of 497bottles.",1996,,
6182501,Islay Single Malt 1989 Thompson Brothers 31 Year Old / Kirsch Import,350,2023-10-04,,31 Year Old,Islay,Thompson Brothers,52.1%,70cl,,"Islay Single Malt 1989 Thompson Brothers 31 Year Old / Kirsch ImportThe Thompson Brothers began their whisky bottling in enterprise in 2013, establishing the Black Isle Whisky Company in their native Dornoch. The brothers, Simon and Philip, renamed the operation as the Dornoch Distilling Company in 2015, opening the Dornoch distillery the following year. In addition to distilling their own whisky, their independent bottlings continue to flourish, with many exceptional tasting and fantastically labelled single malts and rums released under the Thompson Bros banner.This is a unnamed single malt fromIslay that was distilled in 1989 and aged for 31 years.One of 250bottles.",1989,,
6182502,Bowmore 2000 Hand Filled 17 Year Old Cask #2488 / Sherry,422,2023-10-04,Bowmore,17 Year Old,Islay,Official,48.8%,70cl,Operational,"Bowmore 2000 Hand Filled 17 Year Old Cask #2488 / SherryA17year old Bowmore aged in a single sherry cask #2488.Islay’s oldest working distillery, Bowmore was established in 1779 and is now regarded as one of the most popular malts not only on Islay, but in the whole of Scotland. The distillery was acquired by Stanley P. Morrison in 1963, ushering in an era of iconic single malts, including the legendary Black Bowmore, credited by many as the genesis of whisky collecting, bottled in 1995. The distillery was bought under the control Suntory the year prior (they had been stakeholders since 1989), and it remains one of the most collectible brands in Scotch whisky today. Bowmore is one of the few remaining Scottish distilleries to use its own floor maltings, providing them with 40% of their requirements.Distilled on the 6th November2000and bottled by hand at the distillery on the 19th September 2018.We have it on good authority that this has come from afirst fill Olorososherry cask.",2000,1st Fill Oloroso Sherry,
6182503,Glendronach 1993 Single Oloroso Cask 20 Year Old #5,411,2023-10-04,Glendronach,20 year old,Highland,Official,53%,70cl,Operational,"Glendronach 1993 Single Oloroso Cask 20 Year Old #5Glendronach was built in 1826 by James Allardice, and rebuilt following a fire in 1852 by an individual named Walter Scott (although not the one you might be thinking of). It eventually passed into the hands of perhaps Scotland's greatest distilling dynasty, the Grants of Glenfiddich. Charles, the youngest son of William Grant procured the then-silent distillery from the government in 1920, and it remained in the family until they sold it to Wm. Teacher 40 years later. The Grants and Teachers were early champions of the single malt category, and distillery bottlings of Glendronach were produced for most of the 20th century until it was mothballed by Allied Distillers in 1996. The distillery was revived in 2002, and has since become one of the strongest single malt brands in the world.This is a 2013 addition to the distillery's popular single cask series. Distilled in 1993, it was matured in an Oloroso sherry butt and bottled at cask strength.One of 645bottles.",1993,Oloroso Sherry butt,
5121063,Macallan A Night On Earth / Erica Dorn - 43%,75,2023-10-04,Macallan,,Speyside,Official,43%,70cl,Operational,"Macallan A Night On Earth / Erica Dorn - 43%It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Released in late 2021, A Night on Earth is the first in a limited edition gifting series from the Speyside giant. The bottle celebratesScotland’s world-famous Hogmanay festivities which are heldannually on 31st December. The whisky itself has been aged in a combination of American ex-Bourbon andEuropeansherry seasoned casks.The packaging features artwork from acclaimed Japanese-French illustrator Erica Dorn who hascreated designs for some of the world’s leading luxury brands. Dornhas also created graphics forAmerican filmmaker Wes Anderson on projectssuch as Isle of Dogs and The French Dispatch.",,See Lot Description,
6182504,Glendronach 1993 Single Sherry Cask 24 Year Old #401 / LMDW,410,2023-10-04,Glendronach,24 year old,Highland,Official,52.4%,70cl,Operational,"Glendronach 1993 Single Sherry Cask 24 Year Old #401 / LMDWGlendronach was built in 1826 by James Allardice, and rebuilt following a fire in 1852 by an individual named Walter Scott (although not the one you might be thinking of). It eventually passed into the hands of perhaps Scotland's greatest distilling dynasty, the Grants of Glenfiddich. Charles, the youngest son of William Grant procured the then-silent distillery from the government in 1920, and it remained in the family until they sold it to Wm. Teacher 40 years later. The Grants and Teachers were early champions of the single malt category, and distillery bottlings of Glendronach were produced for most of the 20th century until it was mothballed by Allied Distillers in 1996. The distillery was revived in 2002, and has since become one of the strongest single malt brands in the world.This whisky was distilled on 12th February 1993 and aged in single ex-Sherry butt #401 for 24 years. It was bottled in September 2017 for La Maison du Whisky.One of 659 bottles.",1993,Sherry butt,
6182505,Octomore '1695' Discovery / Feis Ile 2014,325,2023-10-04,Bruichladdich,7 Year Old,Islay,Official,69.5%,70cl,Operational,"Octomore '1695' Discovery / Feis Ile 2014Like its island neighbour Bunnahabhain distillery, Bruichladdich has traditionally been an un-peated single malt, mostly owing to its requirements by the blenders who owned it. The last of these was Whyte & Mackay, who eventually shut it down in 1995, deeming it surplus to requirements. They sold the distillery to Murray McDavid in 2001, who launched the peated Port Charlotte and heavily-peated Octomore single malts in 2006 and 2008. A recommissioned Lomond still also now produces the popular Botanist gin there.Perhaps the most desirable of the 2014 Feis Ile releases, this was the first time Bruichladdich hadreleased an Octomore for Feis Ile and it was incredibly limited.Distilled on the 18th February 2007 and bottled for the 2014 Bruichladdichopen day during.Feis Ile,also known as the Islay Festival of Music and Malt had humble beginnings. It traces it origins back to1985 and the establishment of The Islay Festival Association after it was realised that an event celebratingGaelic, music and culture would drive tourism to the island. The inaugural event was two weeks of music, drama andworkshops withceilidhs, concerts and dances in the evening.The first whisky tasting took place as a festival event in 1990, and ten years later the island's distilleries began to be directly involved, organising their annual open days to coincide with it. Today it is one of the biggest events on the whisky calendar, annually drawing hundreds of revellers, and turning out an increasingly sought-after batch of limited edition whiskies like this.One of 1695 bottles.",2007,,
6182494,Macallan 12 Year Old Fine Oak,75,2023-10-04,Macallan,12 Year Old,Speyside,Official,40%,70cl,Operational,"Macallan 12 Year Old Fine OakIt may be hard to imagine today, but for much of the 20th century,Macallanwas primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for thehigh qualityreleases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet,Macallanis easily the most sought after. So much so in fact, that they had to open abrand newdistillery in 2018, a subterranean architectural masterpiece within the EasterElchiesestate, boasting 36 copper pot stills.The Fine Oak series from Macallanwas launched in 2004 and featured""triple matured"" expressions, vatted from a combination of sherry seasonedEuropean and American oak, and bourbon casks.The range was rebranded as the Triple Cask in2018 in order to bring it into line with the distillery's new core range, where it is currently joined by Sherry Oak Cask and Double Cask age-statements.",,see lot description,
6182495,Macallan Rare Cask 2020 Release,220,2023-10-04,Macallan,,Speyside,Official,43%,70cl,Operational,"Macallan Rare Cask 2020 ReleaseIt may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills. The Rare Cask was introduced in 2014 as a premium permanent addition to the 1824 range,which was marketed between 2012 and 2018. When the the 1824 series was discontinued in 2018, the Rare Cask was retained as part of the portfolio,initially as a thrice-annual small batch release in 2018 and 2019.In 2020 the numbered batches were dropped in favour of a single annual release.",,,
5121065,Lagavulin 9 Year Old Game of Thrones / House Lannister,75,2023-10-04,Lagavulin,9 year old,Islay,Official,46%,70cl,Operational,"Lagavulin 9 Year OldGame of Thrones / House LannisterLagavulin distillery is one of the quintessential Islay producers, built in the early 19th century before eventually finding itself in the hands of White Horse blenders and their infamous proprietor, Sir Peter Mackie. It has truly captured the imagination of the whisky world in modern times, with the 16 year old becoming an instant (if unexpected) favourite when introduced as one of United Distillers' Classic Malts in 1988. The company had not expected the smoky flavours to be as popular as lighter offerings such as Dalwhinnie and Glenkinchie. Lagavulin was also home to the legendary (and near mythical) Malt Mill distillery in the first half of the 19th century.A special release of Lagavulin, bottled at 9 years oldThe Diageo's 2018 collaboration with HBOsees their Classic Malts range reimagined as being somehow related to the landed houses of the Game of Thrones television series.It may be tenuous, but we love it all the same.",,,
5121067,Oban Bay Reserve Game of Thrones / The Night's Watch,65,2023-10-04,Oban,,Highland,Official,43%,70cl,Operational,"Oban Bay Reserve Game of Thrones / The Night's WatchOban is a small distillery, situated in the heart of the high street in the town after which it is named. Although its output is deliberately low in order to retain its character, it was one of the earliest players on the single malt scene, introducing a regular 12 year old release back in 1979. That release was eventually replaced with a new 14 year old expression in 1988 when the distillery was selected by United Distillers to represent the Western Highlands in the Classic Malts range.This 2018 Diageo collaboration with HBOsaw their Classic Malts range reimagined as being somehow related to the landed houses of the Game of Thrones television series.",,,
5121069,Ardbeg Blaaack Limited Edition / Committee 20th Anniversary,140,2023-10-04,Ardbeg,,Islay,Official,46%,70cl,Operational,"Ardbeg Blaaack Limited Edition / Committee 20th AnniversaryYou would not think it to see it now, but Ardbeg had a difficult time of it for much of the 20th century. The distillery was bought in a joint venture between Hiram Walker and DCL in 1959, both intending to supply their blends. The subsequent years were very successful, but DCL backed out in 1979 (closing many of their other distilleries a few years later), and Hiram Walker then struggled in the 1980s era oversupply when interest is blended Scotch was waning. They closed it down for the majority of the decade. It re-opened briefly in the 1990s before being revived for good by Glenmorangie plc in 1997.Ardbeg Blaaack was released in 2020 to celebrate the 20thanniversary of the Ardbeg Committee. Officially launched in January 2000, the Ardbeg Committee is a fan club that loosely tasked with safeguarding the distillery from a return to its darker days of the previous century. Open to anyone to register, the club has access to exclusive releases like this one, which are never available to the general public. Membership also have access to a private room at the distillery and are asked to adhere to semi-tongue in cheek set of Committee rules, one of which warns of grave consequences for those who mix their Ardbeg with anything other than water.The distillery'sannual limited edition is normally launched at the Arbeg Day celebration at Feis Ileevery year, but sadly the 2020 event was cancelled due to the global COVID-19 pandemic. Instead, this was launched through the distillery website. As ever, a cask strength release exclusively for members of the Arbeg Committee was also produced.Adorned with sheep puns, the labelling refers to Ardbeg distillery's ""black sheep"" status on Islay, and the whisky was matured in PinotNoir casks from another famously sheep covered island, New Zealand.",,new zealand pinot noir,
5121071,Islay Single Malt 16 Year Old Elixir Distillers / Black Friday 2022,66,2023-10-04,,16 Year Old,Islay,Elixir Distillers,53.2%,70cl,,"Islay Single Malt 16 Year Old Elixir Distillers / Black Friday 2022A great limited release of mystery Islay single maltfrom Elixir Distillers, produced in 2022.Originally known as Speciality Drinks, Elixir Distillers was established in 1999 as the independent bottling arm of The Whisky Exchange, which launched its online retail site the same year. Their first bottlings were under the Single Malts of Scotland label in 2005, followed by the Elements of Islay range and Port Askaig single malt brand in 2006 and 2009, respectively. The company was renamed Elixir Distillers as of 2017.2000 bottlesof this 16 year old Islay were produced for The Whisky Exchange.",,,
5121073,Johnnie Walker White Walker,30,2023-10-04,,,Scotland,Official,41.7%,70cl,,"Johnnie Walker White WalkerJohnnie Walker is arguably the most popular and recognisable blended Scotch on the market. Its core range includes the standard Red Label and Black Label, introduced in 1909 and named, quite simply, after their packaging. The iconic “striding man” motif was first drawn by Tom Browne the year prior. The premium Blue Label brand was introduced in 1992, and is composed using malt whisky from some of the most sought after distilleries in Diageo’s extensive portfolio. Today, many of these distilleries are only still with us due to their importance to the Johnnie Walker blends during the difficult 1980s period for the industry. A true champion of the whisky world.This was a limited edition blend from Johnnie Walker, who endured a number of bizarre transmogrifications in 2018, first into a woman,and then a grumpy wall-astern snow zombie. Still Scottish then, at least.The White Walker of course is the frosty non-blonde villain army from the HBO behemoth, Game of Thrones, and this release was just the first in a series that sawDiageo reimagine many of its Classic Malts.In keeping with the theme, the blend contains single malt from Cardhuand Clynelish; ""one of Scotland's northernmost distilleries,"" and is chill filtered to 1.5°.The bottle also instructs you to freeze it ""for an unexpected icy reveal."" Whisky Auctioneer does not condone drinking frozen spirits.",,,
6182496,Laphroaig 10 Year Old Original Cask Strength 1 Litre / 55.7%,575,2023-10-04,Laphroaig,10 Year Old,Islay,Official,55.7%,1 Litre,Operational,"Laphroaig 10 Year Old Original Cask Strength 1 Litre / 55.7%Laphroaig is the largest of the three heavyweight Islay distilleries in Kildalton, out-stripping the production capacity of neighbours, Ardbeg and Lagavulin, by over 1 million litres per annum. Despite its traditional appearance, Laphroaig was always a forward-thinking distillery. It was bottled as a single malt as early as the 1920s, an unfashionable option at the time, especially for a peated whisky. They were also shrewd in capitalising on post-Prohibition America to add trademark sweetness to their spirit through the use of imported ex-bourbon casks, and hired Scotland’s first ever female distillery manager, Bessie Williamson, in 1954. Laphroaig is one of only a handful of distilleries in Scotland to still use in-house maltings, providing them with 20% of their annual requirements, and contributing to the distillery’s unique flavour profile.The 10 year old is one of the all time classics of the whisky world, famed the world over for its uniquely Laphroaig flavour.The cask strength equivalents were first bottled in 1995, and have been incredibly sought after ever since, particularly pre-batch numbered versions like this.",,,
5121075,Waterford Single Farm Origin Ballykilcavan Edition 1.1,35,2023-10-04,Waterford,,Ireland,Official,50%,70cl,Operational,"Waterford Single Farm Origin Ballykilcavan Edition 1.1The Waterford distillery was originally built as a state-of-the-art brewing Guinness facility by Diageo in 2003. It was purchased and transformed into a distillery by Mark Reynier in 2014. The former proprietor as Bruichladdich, Reynier was inspired to look to Ireland for his next project following the testimony from the Islay distillery’s Duncan McGillvray that the barley from across the Irish sea was the best he had ever seen. As with Bruichladdich, the Waterford distillery is terroir-focussed, sourcing all of its barley requirement from 46 local farms. The distillery operates a column still, and two pot stills procured from the closed Inverleven distillery in Scotland. The first spirt ran from them in January 2016, and its first publicly available bottlings were produced in 2020.This is one of the distillery's inaugural 2020 single malt releases. It was distilled in week 8 of 2016, using barley grown by David Walsh-Kemmisat the Ballykilcavan farm in County Laois. The barley was harvested in August 2015.",2016,,
5121077,Waterford Single Farm Origin Bannow Island Edition 1.1,41,2023-10-04,Waterford,,Ireland,Official,50%,70cl,Operational,"Waterford Single Farm Origin Bannow Island Edition 1.1The Waterford distillery was originally built as a state-of-the-art brewing Guinness facility by Diageo in 2003. It was purchased and transformed into a distillery by Mark Reynier in 2014. The former proprietor as Bruichladdich, Reynier was inspired to look to Ireland for his next project following the testimony from the Islay distillery’s Duncan McGillvray that the barley from across the Irish sea was the best he had ever seen. As with Bruichladdich, the Waterford distillery is terroir-focussed, sourcing all of its barley requirement from 46 local farms. The distillery operates a column still, and two pot stills procured from the closed Inverleven distillery in Scotland. The first spirt ran from them in January 2016, and its first publicly available bottlings were produced in 2020.This is one of the distillery's inaugural 2020 single malt releases. It was distilled in week 25of 2016, using barley grown by Ed Harpurat the Bannow Island farm in Wesford. The barley was harvested in September 2015.",2016,,
5121079,Ardbeg 10 Year Old Gift Pack,45,2023-10-04,Ardbeg,10 Year Old,Islay,Official,46%,70cl,Operational,"Ardbeg 10 Year Old Gift PackYou would not think it to see it now, but Ardbeghad a difficult time of it for much of the 20th century. The distillery was bought in a joint venture between Hiram Walker and DCL in 1959, both intending to supply their blends. The subsequent years were very successful, but DCL backed out in 1979 (closing many of their other distilleries a few years later), and Hiram Walker then struggled in the 1980s era oversupply when interest is blended Scotch was waning. They closed it down for the majority of the decade. It re-opened briefly in the 1990s before being revived for good by Glenmorangieplc in 1997.The ""Guaranteed 10 year old"" was the standard Ardbeg single malt release during the 1970s and 1980s, however the last of these were sold by Allied Distillers in the early 1990s. When Glenmorangie plc first took over at the distillery, the gap in stock due to its numerous closures meant that the first age-statement distillery bottling they could release was a generous 17 year old. This now classic 10 year old expression made its triumphant return in 2000 however.A very well presented bottle of Ardbeg 10 year old (46%).",,,
5121081,Ardbeg 10 Year Old Gift Pack with Uigeadail & Corryvreckan Miniatures,50,2023-10-04,Ardbeg,10 Year Old,Islay,Official,"46%, 54.2% & 57.1%",70cl & 2 x 5cl,Operational,"Ardbeg 10 Year Old Gift Pack with Uigeadail & Corryvreckan MiniaturesYou would not think it to see it now, but Ardbeghad a difficult time of it for much of the 20th century. The distillery was bought in a joint venture between Hiram Walker and DCL in 1959, both intending to supply their blends. The subsequent years were very successful, but DCL backed out in 1979 (closing many of their other distilleries a few years later), and Hiram Walker then struggled in the 1980s era oversupply when interest is blended Scotch was waning. They closed it down for the majority of the decade. It re-opened briefly in the 1990s before being revived for good by Glenmorangieplc in 1997.The ""Guaranteed 10 year old"" was the standard Ardbeg single malt release during the 1970s and 1980s, however the last of these were sold by Allied Distillers in the early 1990s. When Glenmorangie plc first took over at the distillery, the gap in stock due to its numerous closures meant that the first age-statement distillery bottling they could release was a generous 17 year old. This now classic 10 year old expression made its triumphant return in 2000 however.A very well presented bottle of Ardbeg 10 year old (46%) alongside a 5cl miniature of Ardbeg Uigeadail (54.2%) and ArdbegCorryvreckan(57.1%)",,,
6182497,Speyside Single Malt 1994 Whisky Agency 26 Year Old,200,2023-10-04,,26 Year Old,Speyside,The Whisky Agency,51.3%,70cl,,"Speyside Single Malt 1994 Whisky Agency 26 Year OldThe Whisky Agency was founded in Germany by Carsten Ehrlich, who is also the driving force behind The Whisky Fair in Limburg, one of the world's most renowned annual whisky gatherings. Their passion is unquestionable, and they have a regular release schedule of high quality single casks, often in collaboration with some of the most respected whisky bars and retailers. The Whisky Agency's labels include The Perfect Dram, Liquid Library, Private Stock, and Liquid Sun.This whisky was distilled at an undisclosed Speyside distillery in 1994 and laid to rest in single hogsheadfor 26 years.before being bottled in2020.",1994,Hogshead,
5121232,Springbank 30 Year Old 2022 Release,2100,2023-10-04,Springbank,30 Year Old,Campbeltown,Official,46%,70cl,Operational,"Springbank 30 Year Old 2022 ReleaseSpringbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This 30 year old malt and has been matured in a combination of 85% ex-Bourbon and 15% ex-Sherry casks.When it wasreleased in June 2022, it was limited to just 1,400 bottles.",,See Lot Desription,
5121234,Springbank 25 Year Old 2022 First Release,1100,2023-10-04,Springbank,25 Year Old,Campbeltown,Official,46%,70cl,Operational,"Springbank 25 Year Old 2022 First ReleaseSpringbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is one of the only distilleries to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts.This release of the muchloved 25 year old has been matured in a combination of 40% ex-Bourbon and 60% ex-Sherry casks.The 2022release resulted in just 1,300 bottles.",,See Lot Description,
5121236,Macallan Home Collection / The Distillery,355,2023-10-04,Macallan,,Speyside,Official,43.5%,70cl,Operational,"Macallan Home Collection / The DistilleryThe first in a series from the famous Speysider which is titled the Home Collection.It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills. The release celebrates the Macallan distillery itself and the packaging features a watercolour by Macallan employee Colin Rizza.",,,
5121238,"Macallan An Estate, A Community and A Distillery / Peter Blake",1100,2023-10-04,Macallan,,Speyside,Offical,47.7%,70cl,Operational,"Macallan An Estate, A Community and A Distillery / Peter Blake""A tribute to some of the colourful characters from The Macallan’s past and present""It may be hard to imagine today, but for much of the 20th century, Macallan was primarily a constituent malt in blends. It was not until the 1980s downturn in the market that the distillery decided to focus on its single malt brand. Fortuitously, this coincided with the crest of a wave of enthusiasm for the high quality releases that the distillery had licensed to Campbell, Hope & King and Gordon & MacPhail in the 1960s and 1970s. These remain some of the most collectible on the market. While global single malt sales volume is still lead by Speyside neighbours, Glenfiddich and Glenlivet, Macallan is easily the most sought after. So much so in fact, that they had to open a brand new distillery in 2018, a subterranean architectural masterpiece within the Easter Elchies estate, boasting 36 copper pot stills.Presented in early 2021, An Estate, A Community and A Distillery is the result of the Speyside giant once again collaborating with acclaimed British artist, Sir Peter Blake. Famously the designer of The Beatles iconic Sgt. Pepper's Lonely Hearts Club Band record sleeve, he is perhaps best known in the whisky world for labelling 12 bottles of the legendary Macallan 1926: currently the most expensive single malt in history. This is the third time he and TheMacallan have worked together.The bottle was released to celebrate the distilleries Anecdotes of Ages Collection and was available via ballot in March 2021.The presentation box houses the bottle, a certificate detailing the history and heritage on which the art was based, and artwork printed on a scroll.",,,
5121240,Springbank 5 Year Old 1970s / A Sutti Import,725,2023-10-04,Springbank,5 Year Old,Campbeltown,Official,43%,75cl,Operational,"Springbank5Year Old 1970s / ASutti ImportSpringbank distillery has been owned and operated by the Mitchell family in Campbeltown since 1837, and it one of Scotland's most revered distilleries. Following a brief mothballing between 1979 and 1987, upon the reopening the decision was taken to cease all sales to the blending industry and focus on its single malt sales. Today it is the only distillery to malt, distil, bottle and mature whisky on the same site, and produces three distinct and highly prized single malts. This is a 1970s bottling of the 5year old age-statement.",,,
5121242,Old Bushmills 9 Year Old Irish Whiskey 1960s / Sposetti Import,114,2023-10-04,Old Bushmills,9 Year Old,Northern Ireland,Official,43%,75cl,Operational,"Old Bushmills 9 Year Old Irish Whiskey 1960s / Sposetti ImportThe Old Bushmills distillery in Northern Ireland is the world's oldest licensed whiskey producer, granted a license to distil whisky in 1608. The modern iteration of the distillery was built in 1885, following a fire. Old Bushmills was bought by the Irish Distillers group in 1971, giving them a full monopoly on the production of whiskey on the island, lasting until 1987 when Cooley was opened by the Teeling family. Diageo later bought the site in 2005, before trading it 9 years later with Casa Cuervo in exchange for a stake in one of their Tequila brands. This is an old 1960s bottling of 9 year old Irish whiskey, imported to Italy by Sposetti.",,,
5121244,Lucky Joe Kentucky Straight Bourbon 70cl / Rinaldi Import,80,2023-10-04,Barton,,"Kentucky, USA",Official,40%,70cl,Operational,Lucky Joe Kentucky Straight Bourbon 70cl / Rinaldi ImportA 1990s bottling of bourbon from Barton Brands.,,,
5121246,Early Times 4 Year Old Kentucky Straight Bourbon 1970s,120,2023-10-04,Brown-Forman,4 year old,"Kentucky, USA",Official,40%,76cl,Operational,"Early Times Kentucky Straight Bourbon1970sEarly Times is a historic bourbon brand produced for the majority of its time by Brown-Forman at their distillery in Louisville. It was announced in June 2020 however that they had sold the long-serving brand to the Sazerac company.The origins of the Brown-Forman company date back to 1870 when George Garvin Brown went into business with his brother, John Thompson Street Brown. The pair had struck upon the innovation of selling whiskey in sealed glass bottles in order to ensure quality control to capitalise on the medicinal whiskey trade in the 19th century. They introduced their Old Forester brand in the same year in order to do just that. The two brothers’ business relationship quickly deteriorated however, and George Garvin founded a new venture with his accountant, George Forman, taking the Old Forester label with him. His early investment in the medicinal whiskey trade paid huge dividends when National Prohibition was enacted in 1920, seeing Brown-Forman granted a license to continue making whiskey. It was one of just six, alongside Glenmore, Frankfort Distilleries, Schenley, A. Ph. Stitzel and the American Medicinal Spirits Co. The company then bought the Early Times distillery in 1923 in order to make use of its huge stocks, and for nearly 100 years it was one of its flagship brands. Brown-Forman emerged from Prohibition as one of America's powerhouse distilling companies, adding the Labrot & Graham distillery (later Woodford Reserve) to its portfolio in the 1940s, and the Jack Daniel distillery in Tennessee in the 1950s. The company remains a global player in the whisky industry to this day, opening a new Old Forester distillery in 2018, and acquiring a foothold in the Scotch market in 2016 through its takeover of Benriach, Glenglassaugh and Glendronach.",,,
5121248,Old Virginia 8 Year Old Straight Bourbon,65,2023-10-04,,8 Year Old,USA,Official,40%,70cl,Operational,"Old Virginia 8 Year Old Straight BourbonA brand of straight bourbon whiskey for the European market, predominantly France.This is the 8 year old variant.",,,
